id,title,tags
1452,Superman Returns,"save the world dc comic invulner sequel superhero brandonrouth kevinspacey katebosworth jamesmarsden parkerposey bryansing adventur fantasi action scienc fiction superman return to discov hi 5-year absenc ha allow lex luthor to walk free, and that those he wa closest too felt abandon and have move on. luthor plot hi ultim reveng that could see million kill and chang the face of the planet forever, as well as rid himself of the man of steel."
10764,Quantum of Solace,"kill undercov secret agent british secret servic danielcraig olgakurylenko mathieuamalr judidench giancarlogiannini marcforst adventur action thriller crime quantum of solac continu the adventur of jame bond after casino royale. betray by vesper, the woman he loved, 007 fight the urg to make hi latest mission personal. pursu hi determin to uncov the truth, bond and m interrog mr. white, who reveal that the organ that blackmail vesper is far more complex and danger than anyon had imagined."
58,Pirates of the Caribbean: Dead Man's Chest,"witch fortun teller bondag exot island monster johnnydepp orlandobloom keiraknightley stellanskarsg\u00e5rd billnighi goreverbinski adventur fantasi action captain jack sparrow work hi way out of a blood debt with the ghostli davey jones, he also attempt to avoid etern damnation."
57201,The Lone Ranger,"texa hors survivor texa ranger partner johnnydepp armiehamm williamfichtn helenabonham carterjam badgedal goreverbinski action adventur western the texa ranger chase down a gang of outlaw led by butch cavendish, but the gang ambush the rangers, seemingli kill them all. one survivor is found, however, by an american indian name tonto, who nurs him back to health. the ranger, don a mask and ride a white stallion name silver, team up with tonto to bring the unscrupul gang and other of that ilk to justice."
49521,Man of Steel,"save the world dc comic superhero base on comic book superhuman henrycavil amyadam michaelshannon kevincostn dianelan zacksnyd action adventur fantasi scienc fiction a young boy learn that he ha extraordinari power and is not of thi earth. as a young man, he journey to discov where he came from and what he wa sent here to do. but the hero in him must emerg if he is to save the world from annihil and becom the symbol of hope for all mankind."
2454,The Chronicles of Narnia: Prince Caspian,"base on novel fiction place brother sister relationship lion human be benbarn williammoseley annapopplewel skandarkeyn georgiehenley andrewadamson adventur famili fantasi one year after their incred adventur in the lion, the witch and the wardrobe, peter, edmund, luci and susan pevensi return to narnia to aid a young princ whose life ha been threaten by the evil king miraz. now, with the help of a color cast of new characters, includ trufflehunt the badger and nikabrik the dwarf, the pevensi clan embark on an incred quest to ensur that narnia is return to it right heir."
24428,The Avengers,"new york shield marvel comic superhero base on comic book robertdowney jr.chri evansmark ruffalochri hemsworthscarlett johansson josswhedon scienc fiction action adventur when an unexpect enemi emerg and threaten global safeti and security, nick fury, director of the intern peacekeep agenc known as s.h.i.e.l.d., find himself in need of a team to pull the world back from the brink of disaster. span the globe, a dare recruit effort begins!"
1865,Pirates of the Caribbean: On Stranger Tides,"sea captain mutini sword prime minist johnnydepp pen\u00e9lopecruz ianmcshan kevinmcn geoffreyrush robmarshal adventur action fantasi captain jack sparrow cross path with a woman from hi past, and he' not sure if it' love -- or if she' a ruthless con artist who' use him to find the fabl fountain of youth. when she forc him aboard the queen anne' revenge, the ship of the formid pirat blackbeard, jack find himself on an unexpect adventur in which he doesn't know who to fear more: blackbeard or the woman from hi past."
41154,Men in Black 3,"time travel time machin alien fiction govern agenc see the futur willsmith tommyle jonesjosh brolinmichael stuhlbargemma thompson barrysonnenfeld action comedi scienc fiction agent j (will smith) and k (tommi lee jones) are back...in time. j ha seen some inexplic thing in hi 15 year with the men in black, but nothing, not even aliens, perplex him as much as hi wry, retic partner. but when k' life and the fate of the planet are put at stake, agent j will have to travel back in time to put thing right. j discov that there are secret to the univers that k never told him - secret that will reveal themselv as he team up with the young agent k (josh brolin) to save hi partner, the agency, and the futur of humankind."
122917,The Hobbit: The Battle of the Five Armies,"corrupt elv dwarv orc middle-earth (tolkien) martinfreeman ianmckellen richardarmitag kenstott grahammctavish peterjackson action adventur fantasi immedi after the event of the desol of smaug, bilbo and the dwarv tri to defend erebor' mountain of treasur from other who claim it: the men of the ruin laketown and the elv of mirkwood. meanwhil an armi of orc led by azog the defil is march on erebor, fuel by the rise of the dark lord sauron. dwarves, elv and men must unite, and the hope for middle-earth fall into bilbo' hands."
1930,The Amazing Spider-Man,"loss of father vigilant serum marvel comic scientif experi andrewgarfield emmaston rhysifan denisleari campbellscott marcwebb action adventur fantasi peter parker is an outcast high schooler abandon by hi parent as a boy, leav him to be rais by hi uncl ben and aunt may. like most teenagers, peter is tri to figur out who he is and how he got to be the person he is today. as peter discov a mysteri briefcas that belong to hi father, he begin a quest to understand hi parents' disappear – lead him directli to oscorp and the lab of dr. curt connors, hi father' former partner. as spider-man is set on a collis cours with connors' alter ego, the lizard, peter will make life-alt choic to use hi power and shape hi destini to becom a hero."
20662,Robin Hood,"robin hood archer knight sherwood forest bow and arrow russellcrow cateblanchett maxvon sydowwilliam hurtmark strong ridleyscott action adventur when soldier robin happen upon the die robert of loxley, he promis to return the man' sword to hi famili in nottingham. there, he assum robert' identity; romanc hi widow, marion; and draw the ire of the town' sheriff and king john' henchman, godfrey."
57158,The Hobbit: The Desolation of Smaug,"elv dwarv orc hobbit dragon martinfreeman ianmckellen richardarmitag kenstott grahammctavish peterjackson adventur fantasi the dwarves, bilbo and gandalf have success escap the misti mountains, and bilbo ha gain the one ring. they all continu their journey to get their gold back from the dragon, smaug."
2268,The Golden Compass,"england compass experi lordship uncl dakotablu richardsnicol kidmandaniel craigsam elliotteva green chrisweitz adventur fantasi after overhear a shock secret, precoci orphan lyra belacqua trade her carefre exist roam the hall of jordan colleg for an otherworldli adventur in the far north, unawar that it' part of her destiny."
254,King Kong,"film busi screenplay show busi film make film produc naomiwatt jackblack adrienbrodi thomaskretschmann colinhank peterjackson adventur drama action in 1933 new york, an overli ambiti movi produc coerc hi cast and hire ship crew to travel to mysteri skull island, where they encount kong, a giant ape who is immedi smitten with the lead lady."
597,Titanic,"shipwreck iceberg ship panic titan katewinslet leonardodicaprio francesfish billyzan kathyb jamescameron drama romanc thriller 84 year later, a 101-year-old woman name rose dewitt bukat tell the stori to her granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell and anatoli mikailavich on the keldysh about her life set in april 10th 1912, on a ship call titan when young rose board the depart ship with the upper-class passeng and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist name jack dawson and hi best friend fabrizio de rossi win third-class ticket to the ship in a game. and she explain the whole stori from departur until the death of titan on it first and last voyag april 15th, 1912 at 2:20 in the morning."
271110,Captain America: Civil War,"civil war war marvel comic sequel superhero chrisevan robertdowney jr.scarlett johanssonsebastian stananthoni macki anthonyrusso adventur action scienc fiction follow the event of age of ultron, the collect govern of the world pass an act design to regul all superhuman activity. thi polar opinion amongst the avengers, caus two faction to side with iron man or captain america, which caus an epic battl between former allies."
44833,Battleship,"fight u.s. navi mind read hong kong soccer taylorkitsch alexanderskarsg\u00e5rd rihannabrooklyn deckertadanobu asano peterberg thriller action adventur scienc fiction when mankind beam a radio signal into space, a repli come from ‘planet g’, in the form of sever alien craft that splash down in the water off hawaii. lieuten alex hopper is a weapon offic assign to the uss john paul jones, part of an intern naval coalit which becom the world' last hope for surviv as they engag the hostil alien forc of unimagin strength. while take on the invaders, hopper must also tri to live up to the potenti hi brother, and hi fiancée' father, admir shane, expect of him."
135397,Jurassic World,"monster dna tyrannosauru rex velociraptor island chrispratt brycedalla howardirrfan khanvinc d'onofrionick robinson colintrevorrow action adventur scienc fiction thriller twenty-two year after the event of jurass park, isla nublar now featur a fulli function dinosaur theme park, jurass world, as origin envis by john hammond."
37724,Skyfall,"spi secret agent sociopath killer art galleri danielcraig judidench javierbardem ralphfienn naomieharri sammend action adventur thriller when bond' latest assign goe grave wrong and agent around the world are exposed, mi6 is attack forc m to reloc the agency. these event caus her author and posit to be challeng by gareth mallory, the new chairman of the intellig and secur committee. with mi6 now compromis from both insid and out, m is left with one alli she can trust: bond. 007 take to the shadow - aid onli by field agent, eve - follow a trail to the mysteri silva, whose lethal and hidden motiv have yet to reveal themselves."
558,Spider-Man 2,"dual ident love of one' life pizza boy marvel comic sequel tobeymaguir kirstendunst jamesfranco alfredmolina rosemaryharri samraimi action adventur fantasi peter parker is go through a major ident crisis. burn out from be spider-man, he decid to shelv hi superhero alter ego, which leav the citi suffer in the wake of carnag left by the evil doc ock. in the meantime, parker still can't act on hi feel for mari jane watson, a girl he' love sinc childhood."
68721,Iron Man 3,"terrorist war on terror tennesse malibu marvel comic robertdowney jr.gwyneth paltrowdon cheadleguy pearcerebecca hall shaneblack action adventur scienc fiction when toni stark' world is torn apart by a formid terrorist call the mandarin, he start an odyssey of rebuild and retribution."
12155,Alice in Wonderland,"base on novel fiction place queen fantasi alic in wonderland miawasikowska johnnydepp annehathaway helenabonham cartercrispin glover timburton famili fantasi adventur alice, an unpretenti and individu 19-year-old, is betroth to a dunc of an english nobleman. at her engag party, she escap the crowd to consid whether to go through with the marriag and fall down a hole in the garden after spot an unusu rabbit. arriv in a strang and surreal place call 'underland,' she find herself in a world that resembl the nightmar she had as a child, fill with talk animals, villain queen and knights, and frumiou bandersnatches. alic realiz that she is there for a reason – to conquer the horrif jabberwocki and restor the right queen to her throne."
36668,X-Men: The Last Stand,"mutant marvel comic base on comic book superhuman beast hughjackman halleberri ianmckellen patrickstewart famkejanssen brettratn adventur action scienc fiction thriller when a cure is found to treat mutations, line are drawn amongst the x-men and the brotherhood, a band of power mutant organ under xavier' former ally, magneto."
62211,Monsters University,monster dormitori game anim best friend billycryst johngoodman stevebuscemi helenmirren noahjohnston danscanlon anim famili a look at the relationship between mike and sulley dure their day at monster univers — when they weren't necessarili the best of friends.
8373,Transformers: Revenge of the Fallen,"egypt sun chao symbol artifact shialabeouf meganfox joshduhamel rainnwilson tyresegibson michaelbay scienc fiction action adventur sam witwicki leav the autobot behind for a normal life. but when hi mind is fill with cryptic symbols, the decepticon target him and he is drag back into the transformers' war."
91314,Transformers: Age of Extinction,"sequel alien transform giant robot robot markwahlberg stanleytucci kelseygramm nicolapeltz jackreynor michaelbay scienc fiction action adventur as human pick up the pieces, follow the conclus of ""transformers: dark of the moon,"" autobot and decepticon have all but vanish from the face of the planet. however, a group of powerful, ingeni businessman and scientist attempt to learn from past transform incurs and push the boundari of technolog beyond what they can control - all while an ancient, power transform menac set earth in hi cross-hairs."
68728,Oz: The Great and Powerful,"circu witch magic hope illus jamesfranco milakuni rachelweisz michellewilliam zachbraff samraimi fantasi adventur famili oscar diggs, a small-tim circu illusionist and con-artist, is whisk from kansa to the land of oz where the inhabit assum he' the great wizard of prophecy, there to save oz from the clutch of evil."
102382,The Amazing Spider-Man 2,"obsess marvel comic sequel base on comic book electrocut andrewgarfield emmaston jamiefoxx danedehaan campbellscott marcwebb action adventur fantasi for peter parker, life is busy. between take out the bad guy as spider-man and spend time with the person he loves, gwen stacy, high school graduat cannot come quickli enough. peter ha not forgotten about the promis he made to gwen’ father to protect her by stay away, but that is a promis he cannot keep. thing will chang for peter when a new villain, electro, emerges, an old friend, harri osborn, returns, and peter uncov new clue about hi past."
20526,TRON: Legacy,"artifici intellig secret ident comput program dystopia comput garretthedlund jeffbridg oliviawild bruceboxleitn yayadacosta josephkosinski adventur action scienc fiction sam flynn, the tech-savvi and dare son of kevin flynn, investig hi father' disappear and is pull into the grid. with the help of a mysteri program name quorra, sam quest to stop evil dictat clu from cross into the real world."
49013,Cars 2,car race sequel comedi anthropomorph best friend owenwilson larryth cableguy michaelcain emilymortim johnturturro johnlasset anim famili adventur comedi star race car lightn mcqueen and hi pal mater head oversea to compet in the world grand prix race. but the road to the championship becom rocki as mater get caught up in an intrigu adventur of hi own: intern espionage.
44912,Green Lantern,"dc comic transform superhero alien alien infect ryanreynold blakel petersarsgaard timrobbin markstrong martincampbel adventur action thriller scienc fiction for centuries, a small but power forc of warrior call the green lantern corp ha sworn to keep intergalact order. each green lantern wear a ring that grant him superpowers. but when a new enemi call parallax threaten to destroy the balanc of power in the universe, their fate and the fate of earth lie in the hand of the first human ever recruited."
10193,Toy Story 3,"hostag colleg toy barbi anim tomhank timallen nedbeatti joancusack michaelkeaton leeunkrich anim famili comedi woody, buzz, and the rest of andy' toy haven't been play with in years. with andi about to go to college, the gang find themselv accident left at a nefari day care center. the toy must band togeth to escap and return home to andy."
534,Terminator Salvation,"save the world artifici intellig propheci san francisco cyborg christianbal samworthington antonyelchin moonbloodgood brycedalla howard mcg action scienc fiction thriller all grown up in post-apocalypt 2018, john connor must lead the resist of human against the increasingli domin militarist robots. but when marcu wright appears, hi exist confus the mission as connor tri to determin whether wright ha come from the futur or the past -- and whether he' friend or foe."
168259,Furious 7,car race speed reveng suspens car vindiesel paulwalk dwaynejohnson michellerodriguez tyresegibson jameswan action deckard shaw seek reveng against domin toretto and hi famili for hi comatos brother.
72190,World War Z,"dystopia apocalyps zombi nuclear weapon multipl perspect bradpitt mireilleeno abigailhargrov sterlingjerin jamesbadg dale marcforst action drama horror scienc fiction thriller life for former unit nation investig gerri lane and hi famili seem content. suddenly, the world is plagu by a mysteri infect turn whole human popul into rampag mindless zombies. after bare escap the chaos, lane is persuad to go on a mission to investig thi disease. what follow is a peril trek around the world where lane must brave horrif danger and long odd to find answer befor human civil falls."
127585,X-Men: Days of Future Past,1970 mutant time travel marvel comic base on comic book hughjackman jamesmcavoy michaelfassbend jenniferlawr halleberri bryansing action adventur fantasi scienc fiction the ultim x-men ensembl fight a war for the surviv of the speci across two time period as they join forc with their younger selv in an epic battl that must chang the past – to save our future.
54138,Star Trek Into Darkness,"spacecraft friendship sequel futurist space chrispin zacharyquinto zoesaldana karlurban simonpegg j.j.abram action adventur scienc fiction when the crew of the enterpris is call back home, they find an unstopp forc of terror from within their own organ ha deton the fleet and everyth it stand for, leav our world in a state of crisis. with a person score to settle, captain kirk lead a manhunt to a war-zon world to captur a one man weapon of mass destruction. as our hero are propel into an epic chess game of life and death, love will be challenged, friendship will be torn apart, and sacrific must be made for the onli famili kirk ha left: hi crew."
81005,Jack the Giant Slayer,"base on fairi tale giant nicholashoult eleanortomlinson ewanmcgregor stanleytucci ianmcshan bryansing action famili fantasi the stori of an ancient war that is reignit when a young farmhand unwittingli open a gateway between our world and a fearsom race of giants. unleash on the earth for the first time in centuries, the giant strive to reclaim the land they onc lost, forc the young man, jack into the battl of hi life to stop them. fight for a kingdom, it people, and the love of a brave princess, he come face to face with the unstopp warrior he thought onli exist in legend–and get the chanc to becom a legend himself."
64682,The Great Gatsby,"base on novel infidel obsess hope 3d leonardodicaprio tobeymaguir careymulligan joeledgerton elizabethdebicki bazluhrmann drama romanc an adapt of f. scott fitzgerald' long island-set novel, where midwestern nick carraway is lure into the lavish world of hi neighbor, jay gatsby. soon enough, however, carraway will see through the crack of gatsby' nouveau rich existence, where obsession, madness, and tragedi await."
9543,Prince of Persia: The Sands of Time,"persia sandstorm brother against brother armageddon regent jakegyllenha gemmaarterton benkingsley alfredmolina stevetoussaint mikenewel adventur fantasi action romanc a rogu princ reluctantli join forc with a mysteri princess and together, they race against dark forc to safeguard an ancient dagger capabl of releas the sand of time – gift from the god that can revers time and allow it possessor to rule the world."
68726,Pacific Rim,"dystopia giant robot giant monster apocalyps imax idriselba charliehunnam charlieday ronperlman burngorman guillermodeltoro action scienc fiction adventur when legion of monstrou creatures, known as kaiju, start rise from the sea, a war began that would take million of live and consum humanity' resourc for year on end. to combat the giant kaiju, a special type of weapon wa devised: massiv robots, call jaegers, which are control simultan by two pilot whose mind are lock in a neural bridge. but even the jaeger are prove nearli defenseless in the face of the relentless kaiju. on the verg of defeat, the forc defend mankind have no choic but to turn to two unlik heroes—a washed-up former pilot (charli hunnam) and an untest traine (rinko kikuchi)—who are team to drive a legendari but seemingli obsolet jaeger from the past. together, they stand as mankind' last hope against the mount apocalypse."
38356,Transformers: Dark of the Moon,"moon spacecraft traitor bodyguard alien planet shialabeouf johnmalkovich kenjeong francesmcdormand joshduhamel michaelbay action scienc fiction adventur sam witwicki take hi first tenuou step into adulthood while remain a reluct human alli of autobot-lead optimu prime. the film center around the space race between the ussr and the usa, suggest there wa a hidden transform role in it all that remain one of the planet' most danger secrets."
217,Indiana Jones and the Kingdom of the Crystal Skull,"save the world riddl whip treasur mexico citi harrisonford cateblanchett shialabeouf raywinston karenallen stevenspielberg adventur action set dure the cold war, the soviet – led by sword-wield irina spalko – are in search of a crystal skull which ha supernatur power relat to a mystic lost citi of gold. after be captur and then escap from them, indi is coerc to head to peru at the behest of a young man whose friend – and indy' colleagu – professor oxley ha been captur for hi knowledg of the skull' whereabouts."
105864,The Good Dinosaur,tyrannosauru rex friend altern histori dinosaur fear raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padilla petersohn adventur anim famili an epic journey into the world of dinosaur where an apatosauru name arlo make an unlik human friend.
62177,Brave,"scotland rebel braveri kingdom archer kellymacdonald juliewalt billyconnolli emmathompson kevinmckidd brendachapman anim adventur comedi famili action brave is set in the mystic scottish highlands, where mérida is the princess of a kingdom rule by king fergu and queen elinor. an unruli daughter and an accomplish archer, mérida one day defi a sacr custom of the land and inadvert bring turmoil to the kingdom. in an attempt to set thing right, mérida seek out an eccentr old wise woman and is grant an ill-fat wish. also figur into mérida’ quest — and serv as comic relief — are the kingdom’ three lords: the enorm lord macguffin, the surli lord macintosh, and the disagre lord dingwall."
188927,Star Trek Beyond,"sequel strand hatr space opera chrispin zacharyquinto karlurban simonpegg zoesaldana justinlin action adventur scienc fiction the uss enterpris crew explor the furthest reach of unchart space, where they encount a mysteri new enemi who put them and everyth the feder stand for to the test."
10681,WALL·E,"romant comedi benburtt elissaknight jeffgarlin fredwillard johnratzenberg andrewstanton anim famili wall· is the last robot left on an earth that ha been overrun with garbag and all human have fled to outer space. for 700 year he ha continu to tri and clean up the mess, but ha develop some rather interest human-lik qualities. when a ship arriv with a sleek new type of robot, wall· think he' final found a friend and stow away on the ship when it leaves."
5174,Rush Hour 3,"ambassador christuck jackiechan hiroyukisanada maxvon sydowyvan attal brettratn action comedi crime thriller after an attempt assassin on ambassador han, inspector lee and detect carter are back in action as they head to pari to protect a french woman with knowledg of the triads' secret leaders. lee also hold secret meet with a unit nation authority, but hi person struggl with a chines crimin mastermind name kenji, which reveal that it' lee' long-lost...brother."
14161,2012,"civil natur disast end of the world disast apocalyps johncusack amandapeet chiwetelejiofor thandienewton oliverplatt rolandemmerich action adventur scienc fiction dr. adrian helmsley, part of a worldwid geophys team investig the effect on the earth of radiat from unpreced solar storms, learn that the earth' core is heat up. he warn u.s. presid thoma wilson that the crust of the earth is becom unstabl and that without proper prepar for save a fraction of the world' population, the entir race is doomed. meanwhile, writer jackson curti stumbl on the same information. while the world' leader race to build ""arks"" to escap the impend cataclysm, curti struggl to find a way to save hi family. meanwhile, volcan erupt and earthquak of unpreced strength wreak havoc around the world."
17979,A Christmas Carol,"holiday base on novel victorian england money christma eve garyoldman jimcarrey stevevalentin darylsabara sageryan robertzemecki anim drama miser ebenez scroog is awaken on christma eve by spirit who reveal to him hi own miser existence, what opportun he wast in hi youth, hi current cruelties, and the dire fate that await him if he doe not chang hi ways. scroog is face with hi own stori of grow bitter and meanness, and must decid what hi own futur will hold: death or redemption."
76757,Jupiter Ascending,"jupit space woman director 3d interspeci romanc milakuni channingtatum seanbean eddieredmayn douglasbooth lillywachowski scienc fiction fantasi action adventur in a univers where human genet materi is the most preciou commodity, an impoverish young earth woman becom the key to strateg maneuv and intern strife within a power dynasty…"
258489,The Legend of Tarzan,"africa feral child tarzan jungl anim attack alexanderskarsg\u00e5rd margotrobbi christophwaltz samuell. jacksondjimon hounsou davidy action adventur tarzan, have acclim to life in london, is call back to hi former home in the jungl to investig the activ at a mine encampment."
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","save the world witch base on novel brother sister relationship self sacrific williammoseley annapopplewel skandarkeyn georgiehenley liamneeson andrewadamson adventur famili fantasi sibl lucy, edmund, susan and peter step through a magic wardrob and find the land of narnia. there, the they discov a charming, onc peac kingdom that ha been plung into etern winter by the evil white witch, jadis. aid by the wise and magnific lion, aslan, the children lead narnia into a spectacular, climact battl to be free of the witch' glacial power forever."
246655,X-Men: Apocalypse,"mutant supernatur power marvel comic superhero base on comic book jamesmcavoy michaelfassbend jenniferlawr nicholashoult oscarisaac bryansing scienc fiction after the re-emerg of the world' first mutant, world-destroy apocalypse, the x-men must unit to defeat hi extinct level plan."
155,The Dark Knight,"dc comic crime fighter secret ident scarecrow sadism christianbal heathledg aaroneckhart michaelcain maggiegyllenha christophernolan drama action crime thriller batman rais the stake in hi war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman set out to dismantl the remain crimin organ that plagu the streets. the partnership prove to be effective, but they soon find themselv prey to a reign of chao unleash by a rise crimin mastermind known to the terrifi citizen of gotham as the joker."
14160,Up,"age differ central and south america balloon anim float in the air edasn christopherplumm jordannagai bobpeterson delroylindo petedoct anim comedi famili adventur carl fredricksen spent hi entir life dream of explor the globe and experienc life to it fullest. but at age 78, life seem to have pass him by, until a twist of fate (and a persist 8-year old wilder explor name russell) give him a new leas on life."
15512,Monsters vs Aliens,"alien giant robot duringcreditssting sethrogen reesewitherspoon hughlauri paulrudd kiefersutherland conradvernon anim famili adventur scienc fiction when susan murphi is unwittingli clobber by a meteor full of outer space gunk on her wed day, she mysteri grow to 49-feet-11-inches. the militari jump into action and captur susan, secret her away to a covert govern compound. she is renam ginormica and place in confin with a ragtag group of monsters..."
1726,Iron Man,"middl east arm dealer malibu marvel comic superhero robertdowney jr.terrenc howardjeff bridgesshaun toubgwyneth paltrow jonfavreau action scienc fiction adventur after be held captiv in an afghan cave, billionair engin toni stark creat a uniqu weapon suit of armor to fight evil."
44826,Hugo,"librari clock film director key toy benkingsley sachabaron cohenasa butterfieldchlo\u00eb gracemoretz raywinston martinscorses adventur drama famili hugo is an orphan boy live in the wall of a train station in 1930 paris. he learn to fix clock and other gadget from hi father and uncl which he put to use keep the train station clock running. the onli thing that he ha left that connect him to hi dead father is an automaton (mechan man) that doesn't work without a special key which hugo need to find to unlock the secret he believ it contains. on hi adventures, he meet with a shopkeeper, georg melies, who work in the train station and hi adventure-seek god-daughter. hugo find that they have a surpris connect to hi father and the automaton, and he discov it unlock some memori the old man ha buri insid regard hi past."
8487,Wild Wild West,steampunk base on tv seri steam locomot drag willsmith kevinklin kennethbranagh salmahayek m.emmet walsh barrysonnenfeld action adventur comedi scienc fiction western legless southern inventor dr. arliss loveless plan to rekindl the civil war by assassin presid u.s. grant. onli two men can stop him: gunfight jame west and master-of-disguis and inventor artemu gordon. the two must team up to thwart loveless' plans.
1735,The Mummy: Tomb of the Dragon Emperor,
297761,Suicide Squad,"dc comic share univers anti hero secret mission villain willsmith margotrobbi joelkinnaman violadavi jaredleto daviday action adventur crime fantasi scienc fiction from dc comic come the suicid squad, an antihero team of incarcer supervillain who act as deniabl asset for the unit state government, undertak high-risk black op mission in exchang for commut prison sentences."
2698,Evan Almighty,father son relationship daili life marri coupl support father stevecarel laurengraham johngoodman jimmybennett johnmichael higgin tomshadyac fantasi comedi famili god contact congressman evan baxter and tell him to build an ark in prepar for a great flood.
137113,Edge of Tomorrow,"deja vu time warp restart dystopia war tomcruis emilyblunt brendangleeson billpaxton jonasarmstrong dougliman action scienc fiction major bill cage is an offic who ha never seen a day of combat when he is unceremoni demot and drop into combat. cage is kill within minutes, manag to take an alpha alien down with him. he awaken back at the begin of the same day and is forc to fight and die again... and again - as physic contact with the alien ha thrown him into a time loop."
9804,Waterworld,"ocean tattoo mutant water dystopia kevincostn chaimgirafi rickavil r.d. callzitto kazann kevinreynold adventur action in a futurist world where the polar ice cap have melt and made earth a liquid planet, a beauti barmaid rescu a mutant seafar from a float island prison. they escape, along with her young charge, enola, and sail off aboard hi ship. but the trio soon becom the target of a menac pirat who covet the map to 'dryland' – which is tattoo on enola' back."
14869,G.I. Joe: The Rise of Cobra,"terrorist secret hostag technolog warhead dennisquaid channingtatum marlonwayan siennamil josephgordon-levitt stephensomm adventur action thriller scienc fiction from the egyptian desert to deep below the polar ice caps, the elit g.i. joe team use the latest in next-gener spi and militari equip to fight the corrupt arm dealer destro and the grow threat of the mysteri cobra organ to prevent them from plung the world into chaos."
